,hotel_id,price,stock,city,date,language,mobile,avatar_id
0,360,205,4,valletta,3,belgian,1,3535
1,639,284,2,valletta,3,belgian,1,3535
2,476,130,11,valletta,3,belgian,1,3535
3,859,145,0,valletta,3,belgian,1,3535
4,504,199,4,valletta,3,belgian,1,3535
5,709,145,0,valletta,3,belgian,1,3535
6,363,170,2,valletta,3,belgian,1,3535
7,424,288,2,valletta,3,belgian,1,3535
8,719,291,2,valletta,3,belgian,1,3535
9,282,168,2,valletta,3,belgian,1,3535
10,237,175,3,valletta,3,belgian,1,3535
11,988,172,2,valletta,3,belgian,1,3535
12,325,105,0,valletta,3,belgian,1,3535
13,404,146,0,valletta,3,belgian,1,3535
14,209,74,0,valletta,3,belgian,1,3535
15,732,205,4,valletta,3,belgian,1,3535
16,598,147,0,valletta,3,belgian,1,3535
17,134,82,0,valletta,3,belgian,1,3535
18,643,81,0,valletta,3,belgian,1,3535
19,480,78,0,valletta,3,belgian,1,3535
20,592,413,3,valletta,3,belgian,1,3535
21,512,274,2,valletta,3,belgian,1,3535
22,501,94,0,valletta,3,belgian,1,3535
23,985,72,2,valletta,3,belgian,1,3535
24,965,170,3,valletta,3,belgian,1,3535
25,832,165,0,valletta,3,belgian,1,3535
26,200,137,8,valletta,3,belgian,1,3535
27,377,145,0,valletta,3,belgian,1,3535
28,295,76,0,valletta,3,belgian,1,3535
29,521,90,1,valletta,3,belgian,1,3535
30,334,84,0,valletta,3,belgian,1,3535
31,106,174,10,valletta,3,belgian,1,3535
32,371,103,0,valletta,3,belgian,1,3535
33,244,411,3,valletta,3,belgian,1,3535
34,55,128,0,valletta,3,belgian,1,3535
35,746,168,5,valletta,3,belgian,1,3535
36,466,174,0,valletta,3,belgian,1,3535
37,376,291,2,valletta,3,belgian,1,3535
38,400,102,11,valletta,3,belgian,1,3535
39,861,233,4,valletta,3,belgian,1,3535
40,718,168,0,valletta,3,belgian,1,3535
41,81,170,2,valletta,3,belgian,1,3535
42,905,170,0,valletta,3,belgian,1,3535
43,749,129,0,valletta,3,belgian,1,3535
