,hotel_id,price,stock,city,date,language,mobile,avatar_id
0,542,71,5,sofia,20,luxembourgish,1,3533
1,190,61,7,sofia,20,luxembourgish,1,3533
2,637,69,16,sofia,20,luxembourgish,1,3533
3,653,115,32,sofia,20,luxembourgish,1,3533
4,815,182,41,sofia,20,luxembourgish,1,3533
5,272,53,4,sofia,20,luxembourgish,1,3533
6,270,121,29,sofia,20,luxembourgish,1,3533
7,208,71,9,sofia,20,luxembourgish,1,3533
8,145,99,22,sofia,20,luxembourgish,1,3533
9,203,117,27,sofia,20,luxembourgish,1,3533
10,459,98,22,sofia,20,luxembourgish,1,3533
11,814,162,40,sofia,20,luxembourgish,1,3533
12,852,52,12,sofia,20,luxembourgish,1,3533
13,141,97,24,sofia,20,luxembourgish,1,3533
14,601,74,16,sofia,20,luxembourgish,1,3533
15,416,105,26,sofia,20,luxembourgish,1,3533
16,143,65,33,sofia,20,luxembourgish,1,3533
17,553,109,13,sofia,20,luxembourgish,1,3533
18,578,110,27,sofia,20,luxembourgish,1,3533
19,883,123,30,sofia,20,luxembourgish,1,3533
20,544,71,5,sofia,20,luxembourgish,1,3533
21,683,97,32,sofia,20,luxembourgish,1,3533
22,353,48,19,sofia,20,luxembourgish,1,3533
23,597,176,38,sofia,20,luxembourgish,1,3533
24,137,50,7,sofia,20,luxembourgish,1,3533
25,25,169,39,sofia,20,luxembourgish,1,3533
26,984,68,9,sofia,20,luxembourgish,1,3533
27,968,139,22,sofia,20,luxembourgish,1,3533
28,287,182,38,sofia,20,luxembourgish,1,3533
29,383,49,32,sofia,20,luxembourgish,1,3533
30,554,50,8,sofia,20,luxembourgish,1,3533
31,302,66,42,sofia,20,luxembourgish,1,3533
32,13,62,12,sofia,20,luxembourgish,1,3533
33,337,90,26,sofia,20,luxembourgish,1,3533
34,923,58,16,sofia,20,luxembourgish,1,3533
35,4,48,1,sofia,20,luxembourgish,1,3533
36,608,97,28,sofia,20,luxembourgish,1,3533
37,574,70,10,sofia,20,luxembourgish,1,3533
38,470,82,16,sofia,20,luxembourgish,1,3533
39,304,98,49,sofia,20,luxembourgish,1,3533
40,44,61,7,sofia,20,luxembourgish,1,3533
41,590,95,24,sofia,20,luxembourgish,1,3533
42,862,74,17,sofia,20,luxembourgish,1,3533
43,802,93,16,sofia,20,luxembourgish,1,3533
44,665,75,15,sofia,20,luxembourgish,1,3533
45,107,50,11,sofia,20,luxembourgish,1,3533
46,201,92,23,sofia,20,luxembourgish,1,3533
47,109,104,22,sofia,20,luxembourgish,1,3533
48,181,89,47,sofia,20,luxembourgish,1,3533
49,472,50,19,sofia,20,luxembourgish,1,3533
50,649,147,52,sofia,20,luxembourgish,1,3533
