,hotel_id,price,stock,city,date,language,mobile,avatar_id
0,107,48,0,sofia,1,bulgarian,1,3535
1,608,96,2,sofia,1,bulgarian,1,3535
2,137,46,0,sofia,1,bulgarian,1,3535
3,871,88,0,sofia,1,bulgarian,1,3535
4,262,102,0,sofia,1,bulgarian,1,3535
5,270,112,2,sofia,1,bulgarian,1,3535
6,25,241,1,sofia,1,bulgarian,1,3535
7,923,55,0,sofia,1,bulgarian,1,3535
8,802,86,0,sofia,1,bulgarian,1,3535
9,852,48,0,sofia,1,bulgarian,1,3535
10,553,101,0,sofia,1,bulgarian,1,3535
11,337,102,0,sofia,1,bulgarian,1,3535
12,208,66,0,sofia,1,bulgarian,1,3535
13,601,105,0,sofia,1,bulgarian,1,3535
14,287,230,1,sofia,1,bulgarian,1,3535
15,984,62,0,sofia,1,bulgarian,1,3535
16,201,89,2,sofia,1,bulgarian,1,3535
17,4,44,0,sofia,1,bulgarian,1,3535
18,862,78,0,sofia,1,bulgarian,1,3535
19,353,41,11,sofia,1,bulgarian,1,3535
20,764,67,0,sofia,1,bulgarian,1,3535
21,181,105,0,sofia,1,bulgarian,1,3535
22,649,198,1,sofia,1,bulgarian,1,3535
23,143,77,1,sofia,1,bulgarian,1,3535
24,472,46,0,sofia,1,bulgarian,1,3535
25,637,65,0,sofia,1,bulgarian,1,3535
26,272,49,0,sofia,1,bulgarian,1,3535
27,542,66,0,sofia,1,bulgarian,1,3535
28,416,104,0,sofia,1,bulgarian,1,3535
29,544,66,0,sofia,1,bulgarian,1,3535
30,574,65,0,sofia,1,bulgarian,1,3535
31,683,89,0,sofia,1,bulgarian,1,3535
32,44,57,0,sofia,1,bulgarian,1,3535
33,554,46,0,sofia,1,bulgarian,1,3535
34,304,83,6,sofia,1,bulgarian,1,3535
35,190,57,0,sofia,1,bulgarian,1,3535
36,590,87,0,sofia,1,bulgarian,1,3535
37,302,62,0,sofia,1,bulgarian,1,3535
38,13,61,0,sofia,1,bulgarian,1,3535
39,578,110,12,sofia,1,bulgarian,1,3535
40,968,177,1,sofia,1,bulgarian,1,3535
41,383,45,0,sofia,1,bulgarian,1,3535
42,203,121,0,sofia,1,bulgarian,1,3535
43,141,89,0,sofia,1,bulgarian,1,3535
44,597,251,1,sofia,1,bulgarian,1,3535
45,109,95,1,sofia,1,bulgarian,1,3535
46,899,94,1,sofia,1,bulgarian,1,3535
47,815,248,1,sofia,1,bulgarian,1,3535
48,145,95,1,sofia,1,bulgarian,1,3535
49,883,166,1,sofia,1,bulgarian,1,3535
50,665,64,7,sofia,1,bulgarian,1,3535
51,814,239,1,sofia,1,bulgarian,1,3535
