,hotel_id,price,stock,city,date,language,mobile,avatar_id
0,814,165,40,sofia,20,swedish,0,3533
1,304,100,49,sofia,20,swedish,0,3533
2,578,112,27,sofia,20,swedish,0,3533
3,554,51,8,sofia,20,swedish,0,3533
4,44,62,7,sofia,20,swedish,0,3533
5,353,49,19,sofia,20,swedish,0,3533
6,649,150,52,sofia,20,swedish,0,3533
7,883,125,30,sofia,20,swedish,0,3533
8,302,67,42,sofia,20,swedish,0,3533
9,141,99,24,sofia,20,swedish,0,3533
10,459,100,22,sofia,20,swedish,0,3533
11,802,95,16,sofia,20,swedish,0,3533
12,665,77,15,sofia,20,swedish,0,3533
13,190,62,7,sofia,20,swedish,0,3533
14,416,107,26,sofia,20,swedish,0,3533
15,145,101,22,sofia,20,swedish,0,3533
16,923,59,16,sofia,20,swedish,0,3533
17,287,185,38,sofia,20,swedish,0,3533
18,653,117,32,sofia,20,swedish,0,3533
19,542,72,5,sofia,20,swedish,0,3533
20,203,119,27,sofia,20,swedish,0,3533
21,574,71,10,sofia,20,swedish,0,3533
22,683,99,32,sofia,20,swedish,0,3533
23,201,94,23,sofia,20,swedish,0,3533
24,272,55,4,sofia,20,swedish,0,3533
25,181,91,47,sofia,20,swedish,0,3533
26,590,97,24,sofia,20,swedish,0,3533
27,637,70,16,sofia,20,swedish,0,3533
28,852,53,12,sofia,20,swedish,0,3533
29,337,92,26,sofia,20,swedish,0,3533
30,25,173,39,sofia,20,swedish,0,3533
31,13,63,12,sofia,20,swedish,0,3533
32,815,185,41,sofia,20,swedish,0,3533
33,553,111,13,sofia,20,swedish,0,3533
34,597,180,38,sofia,20,swedish,0,3533
35,984,69,9,sofia,20,swedish,0,3533
36,208,72,9,sofia,20,swedish,0,3533
37,862,75,17,sofia,20,swedish,0,3533
38,608,99,28,sofia,20,swedish,0,3533
39,109,106,22,sofia,20,swedish,0,3533
40,470,84,16,sofia,20,swedish,0,3533
41,270,124,29,sofia,20,swedish,0,3533
42,107,51,11,sofia,20,swedish,0,3533
43,968,142,22,sofia,20,swedish,0,3533
44,601,75,16,sofia,20,swedish,0,3533
45,544,72,5,sofia,20,swedish,0,3533
46,137,51,7,sofia,20,swedish,0,3533
47,4,49,1,sofia,20,swedish,0,3533
48,143,66,33,sofia,20,swedish,0,3533
49,472,51,19,sofia,20,swedish,0,3533
50,383,50,32,sofia,20,swedish,0,3533
