,hotel_id,price,stock,city,date,language,mobile,avatar_id
0,354,97,14,vienna,20,polish,0,3533
1,692,246,48,vienna,20,polish,0,3533
2,753,150,42,vienna,20,polish,0,3533
3,263,119,19,vienna,20,polish,0,3533
4,940,183,18,vienna,20,polish,0,3533
5,928,88,12,vienna,20,polish,0,3533
6,70,188,39,vienna,20,polish,0,3533
7,626,118,19,vienna,20,polish,0,3533
8,675,107,18,vienna,20,polish,0,3533
9,535,154,21,vienna,20,polish,0,3533
10,875,112,8,vienna,20,polish,0,3533
11,343,85,16,vienna,20,polish,0,3533
12,699,131,18,vienna,20,polish,0,3533
13,996,118,16,vienna,20,polish,0,3533
14,210,105,26,vienna,20,polish,0,3533
15,775,84,2,vienna,20,polish,0,3533
16,63,152,46,vienna,20,polish,0,3533
17,646,112,28,vienna,20,polish,0,3533
18,64,86,0,vienna,20,polish,0,3533
19,610,79,17,vienna,20,polish,0,3533
20,219,188,29,vienna,20,polish,0,3533
21,179,118,21,vienna,20,polish,0,3533
22,755,85,8,vienna,20,polish,0,3533
23,315,269,56,vienna,20,polish,0,3533
24,236,85,9,vienna,20,polish,0,3533
25,877,86,3,vienna,20,polish,0,3533
26,713,211,23,vienna,20,polish,0,3533
27,68,182,20,vienna,20,polish,0,3533
28,666,86,18,vienna,20,polish,0,3533
29,220,93,16,vienna,20,polish,0,3533
30,549,112,9,vienna,20,polish,0,3533
31,511,161,63,vienna,20,polish,0,3533
32,152,167,41,vienna,20,polish,0,3533
33,87,191,35,vienna,20,polish,0,3533
34,336,131,17,vienna,20,polish,0,3533
35,924,163,21,vienna,20,polish,0,3533
36,275,133,10,vienna,20,polish,0,3533
37,635,116,19,vienna,20,polish,0,3533
38,456,187,18,vienna,20,polish,0,3533
39,403,289,42,vienna,20,polish,0,3533
40,428,106,45,vienna,20,polish,0,3533
41,919,80,7,vienna,20,polish,0,3533
42,195,152,4,vienna,20,polish,0,3533
43,368,80,0,vienna,20,polish,0,3533
44,15,257,58,vienna,20,polish,0,3533
45,266,84,9,vienna,20,polish,0,3533
46,977,120,33,vienna,20,polish,0,3533
47,11,169,45,vienna,20,polish,0,3533
48,116,113,8,vienna,20,polish,0,3533
49,37,188,34,vienna,20,polish,0,3533
50,524,213,26,vienna,20,polish,0,3533
51,530,106,11,vienna,20,polish,0,3533
52,810,109,22,vienna,20,polish,0,3533
53,848,172,47,vienna,20,polish,0,3533
54,682,151,0,vienna,20,polish,0,3533
55,446,113,0,vienna,20,polish,0,3533
56,920,110,0,vienna,20,polish,0,3533
57,962,151,21,vienna,20,polish,0,3533
58,979,185,20,vienna,20,polish,0,3533
59,184,276,43,vienna,20,polish,0,3533
60,278,118,7,vienna,20,polish,0,3533
61,382,154,30,vienna,20,polish,0,3533
62,33,161,22,vienna,20,polish,0,3533
63,927,197,27,vienna,20,polish,0,3533
64,457,155,6,vienna,20,polish,0,3533
65,662,196,29,vienna,20,polish,0,3533
66,226,113,3,vienna,20,polish,0,3533
67,171,76,18,vienna,20,polish,0,3533
68,613,211,21,vienna,20,polish,0,3533
69,292,222,27,vienna,20,polish,0,3533
70,839,182,52,vienna,20,polish,0,3533
71,173,117,6,vienna,20,polish,0,3533
72,462,85,3,vienna,20,polish,0,3533
73,57,159,20,vienna,20,polish,0,3533
74,168,274,42,vienna,20,polish,0,3533
75,438,114,5,vienna,20,polish,0,3533
76,693,268,50,vienna,20,polish,0,3533
77,833,154,0,vienna,20,polish,0,3533
78,846,200,30,vienna,20,polish,0,3533
79,231,158,8,vienna,20,polish,0,3533
80,35,86,12,vienna,20,polish,0,3533
81,565,315,43,vienna,20,polish,0,3533
82,98,149,29,vienna,20,polish,0,3533
83,26,175,31,vienna,20,polish,0,3533
84,801,203,31,vienna,20,polish,0,3533
85,730,174,54,vienna,20,polish,0,3533
86,239,310,32,vienna,20,polish,0,3533
87,245,145,15,vienna,20,polish,0,3533
88,268,115,20,vienna,20,polish,0,3533
89,255,188,30,vienna,20,polish,0,3533
90,661,112,15,vienna,20,polish,0,3533
91,128,226,25,vienna,20,polish,0,3533
92,8,120,18,vienna,20,polish,0,3533
93,931,200,31,vienna,20,polish,0,3533
94,784,114,13,vienna,20,polish,0,3533
95,250,266,45,vienna,20,polish,0,3533
96,167,85,7,vienna,20,polish,0,3533
97,704,114,0,vienna,20,polish,0,3533
