,hotel_id,price,stock,city,date,language,mobile,avatar_id
0,201,103,3,sofia,3,czech,0,3535
1,923,59,0,sofia,3,czech,0,3535
2,683,95,0,sofia,3,czech,0,3535
3,262,108,0,sofia,3,czech,0,3535
4,601,111,1,sofia,3,czech,0,3535
5,25,256,3,sofia,3,czech,0,3535
6,137,49,0,sofia,3,czech,0,3535
7,272,52,0,sofia,3,czech,0,3535
8,852,51,0,sofia,3,czech,0,3535
9,871,94,0,sofia,3,czech,0,3535
10,815,263,3,sofia,3,czech,0,3535
11,764,71,0,sofia,3,czech,0,3535
12,544,70,0,sofia,3,czech,0,3535
13,181,111,0,sofia,3,czech,0,3535
14,554,49,0,sofia,3,czech,0,3535
15,302,66,0,sofia,3,czech,0,3535
16,143,78,3,sofia,3,czech,0,3535
17,578,127,13,sofia,3,czech,0,3535
18,553,107,0,sofia,3,czech,0,3535
19,304,96,10,sofia,3,czech,0,3535
20,145,109,3,sofia,3,czech,0,3535
21,270,129,5,sofia,3,czech,0,3535
22,608,111,4,sofia,3,czech,0,3535
23,472,49,0,sofia,3,czech,0,3535
24,287,245,3,sofia,3,czech,0,3535
25,109,109,3,sofia,3,czech,0,3535
26,141,95,0,sofia,3,czech,0,3535
27,899,108,3,sofia,3,czech,0,3535
28,416,110,0,sofia,3,czech,0,3535
29,984,66,0,sofia,3,czech,0,3535
30,203,129,3,sofia,3,czech,0,3535
31,13,65,0,sofia,3,czech,0,3535
32,590,93,0,sofia,3,czech,0,3535
33,190,60,0,sofia,3,czech,0,3535
34,883,176,2,sofia,3,czech,0,3535
35,542,70,0,sofia,3,czech,0,3535
36,814,253,3,sofia,3,czech,0,3535
37,597,267,3,sofia,3,czech,0,3535
38,649,211,3,sofia,3,czech,0,3535
39,107,51,0,sofia,3,czech,0,3535
40,665,74,8,sofia,3,czech,0,3535
41,637,69,0,sofia,3,czech,0,3535
42,574,69,0,sofia,3,czech,0,3535
43,862,83,2,sofia,3,czech,0,3535
44,208,70,0,sofia,3,czech,0,3535
45,337,108,0,sofia,3,czech,0,3535
46,802,91,0,sofia,3,czech,0,3535
47,4,47,0,sofia,3,czech,0,3535
48,968,188,2,sofia,3,czech,0,3535
49,353,47,12,sofia,3,czech,0,3535
50,44,60,0,sofia,3,czech,0,3535
51,383,48,0,sofia,3,czech,0,3535
