,hotel_id,price,stock,city,date,language,mobile,avatar_id
0,304,100,36,sofia,15,irish,0,131650
1,815,199,22,sofia,15,irish,0,131650
2,637,70,10,sofia,15,irish,0,131650
3,201,107,15,sofia,15,irish,0,131650
4,141,99,12,sofia,15,irish,0,131650
5,923,61,10,sofia,15,irish,0,131650
6,208,72,2,sofia,15,irish,0,131650
7,143,66,25,sofia,15,irish,0,131650
8,472,51,0,sofia,15,irish,0,131650
9,302,69,24,sofia,15,irish,0,131650
10,968,142,15,sofia,15,irish,0,131650
11,145,114,15,sofia,15,irish,0,131650
12,287,207,24,sofia,15,irish,0,131650
13,181,95,32,sofia,15,irish,0,131650
14,459,108,15,sofia,15,irish,0,131650
15,353,49,17,sofia,15,irish,0,131650
16,337,112,14,sofia,15,irish,0,131650
17,862,86,12,sofia,15,irish,0,131650
18,4,49,0,sofia,15,irish,0,131650
19,883,135,17,sofia,15,irish,0,131650
20,203,134,20,sofia,15,irish,0,131650
21,13,68,6,sofia,15,irish,0,131650
22,814,191,19,sofia,15,irish,0,131650
23,544,72,0,sofia,15,irish,0,131650
24,852,53,9,sofia,15,irish,0,131650
25,25,193,19,sofia,15,irish,0,131650
26,107,53,5,sofia,15,irish,0,131650
27,109,114,15,sofia,15,irish,0,131650
28,270,134,22,sofia,15,irish,0,131650
29,665,77,13,sofia,15,irish,0,131650
30,590,96,6,sofia,15,irish,0,131650
31,802,95,0,sofia,15,irish,0,131650
32,272,54,0,sofia,15,irish,0,131650
33,649,163,24,sofia,15,irish,0,131650
34,578,132,22,sofia,15,irish,0,131650
35,383,50,10,sofia,15,irish,0,131650
36,653,127,19,sofia,15,irish,0,131650
37,601,84,8,sofia,15,irish,0,131650
38,984,69,4,sofia,15,irish,0,131650
39,190,62,3,sofia,15,irish,0,131650
40,597,201,19,sofia,15,irish,0,131650
41,44,62,2,sofia,15,irish,0,131650
42,542,72,0,sofia,15,irish,0,131650
43,553,111,6,sofia,15,irish,0,131650
44,574,71,4,sofia,15,irish,0,131650
45,554,51,0,sofia,15,irish,0,131650
46,683,99,16,sofia,15,irish,0,131650
47,470,83,12,sofia,15,irish,0,131650
48,608,99,16,sofia,15,irish,0,131650
49,416,107,16,sofia,15,irish,0,131650
50,137,51,0,sofia,15,irish,0,131650
